"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"100nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C2"	"100nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C3"	"220uF"	"DIY-HPA-1-rescue:CP1_Small-device"	"Capacitor_THT:CP_Radial_D10.0mm_P5.00mm"	""	""
"C4"	"330pF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"	""	""
"C5"	"1uF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C6"	"1uF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C7"	"100nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C8"	"10nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C9"	"100nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C10"	"100nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C11"	"220uF"	"DIY-HPA-1-rescue:CP1_Small-device"	"Capacitor_THT:CP_Radial_D10.0mm_P5.00mm"	""	""
"C12"	"100nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C13"	"100nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C14"	"220uF"	"DIY-HPA-1-rescue:CP1_Small-device"	"Capacitor_THT:CP_Radial_D10.0mm_P5.00mm"	""	""
"C15"	"330pF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm"	""	""
"C16"	"1uF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C17"	"1uF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C18"	"100nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C19"	"10nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C20"	"100nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C21"	"100nF"	"DIY-HPA-1-rescue:C_Small-device"	"Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2"	""	""
"C22"	"220uF"	"DIY-HPA-1-rescue:CP1_Small-device"	"Capacitor_THT:CP_Radial_D10.0mm_P5.00mm"	""	""
"C23"	"100uF"	"Device:CP1"	"Capacitor_SMD:CP_Elec_5x5.8"	"Polarized capacitor, US symbol"	""
"C24"	"0.1uF"	"Device:C"	"Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Unpolarized capacitor"	""
"D1"	"1N914"	"Diode:1N914"	"Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal"	"100V 0.3A Small Signal Fast Switching Diode, DO-35"	""
"D2"	"D_Zener"	"Device:D_Zener"	"Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"	"Zener diode"	""
"J1"	"Servo"	"DIY-HPA-1-rescue:Jumper-device"	"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"	""	""
"J2"	"Conn_01x02"	"Connector_Generic:Conn_01x02"	"HP_Footprints:Molex-22-11-2022-2-Pin-Header"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J3"	"PWR R"	"Connector_Generic:Conn_01x03"	"HP_Footprints:Molex-41791-0850-3-Pin-Header"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J4"	"Conn_01x02"	"Connector_Generic:Conn_01x02"	"HP_Footprints:Molex-41791-0849-2-Pin-Header"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J5"	"Conn_01x02"	"Connector_Generic:Conn_01x02"	"HP_Footprints:Molex-41791-0849-2-Pin-Header"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J6"	"Conn_01x03"	"Connector_Generic:Conn_01x03"	"HP_Footprints:Molex-22-11-2032-3-Pin-Header"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J7"	"Servo"	"DIY-HPA-1-rescue:Jumper-device"	"Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical"	""	""
"J8"	"Conn_01x02"	"Connector_Generic:Conn_01x02"	"HP_Footprints:Molex-22-11-2022-2-Pin-Header"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J9"	"PWR L"	"Connector_Generic:Conn_01x03"	"HP_Footprints:Molex-41791-0850-3-Pin-Header"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J10"	"Conn_01x01_Male"	"Connector:Conn_01x01_Male"	"HP_Footprints:1-pad-wire-connector-22-ga"	"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J11"	"Conn_01x01_Male"	"Connector:Conn_01x01_Male"	"HP_Footprints:1-pad-wire-connector-22-ga"	"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"J12"	"Conn_01x02"	"Connector_Generic:Conn_01x02"	"HP_Footprints:Molex-22-11-2022-2-Pin-Header"	"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"K1"	"G6H-2"	"Relay:G6H-2"	"Relay_THT:Relay_DPDT_Omron_G6H-2"	"Omron Ultracompact, Ultrasensitive DPDT Relay, Single-side Stable"	""
"P1"	"1K"	"DIY-HPA-1-rescue:POT-device"	"Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical"	""	""
"P2"	"500"	"DIY-HPA-1-rescue:POT-device"	"Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical"	""	""
"P3"	"1K"	"DIY-HPA-1-rescue:POT-device"	"Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical"	""	""
"P4"	"500"	"DIY-HPA-1-rescue:POT-device"	"Potentiometer_THT:Potentiometer_Bourns_3296Y_Vertical"	""	""
"Q1"	"BC560C"	"Transistor_BJT:BC560"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, PNP Small Signal Transistor, TO-92"	""
"Q2"	"BC560C"	"Transistor_BJT:BC560"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, PNP Small Signal Transistor, TO-92"	""
"Q3"	"KSA992"	"Device:Q_PNP_ECB"	"Package_TO_SOT_THT:TO-92_Inline"	"PNP transistor, emitter/collector/base"	""
"Q4"	"FQP3N30"	"Device:Q_NMOS_GDS"	"Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown"	"N-MOSFET transistor, gate/drain/source"	""
"Q5"	"BC550C"	"Transistor_BJT:BC550"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92"	""
"Q6"	"BC550C"	"Transistor_BJT:BC550"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92"	""
"Q7"	"2SK170BL"	"Device:Q_NJFET_DGS"	"Package_TO_SOT_THT:TO-92_Inline"	"N-JFET transistor, drain/gate/source"	""
"Q8"	"2SJ74BL"	"Device:Q_PJFET_DGS"	"Package_TO_SOT_THT:TO-92_Inline"	"P-JFET transistor, drain/gate/source"	""
"Q9"	"BC560C"	"Transistor_BJT:BC560"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, PNP Small Signal Transistor, TO-92"	""
"Q10"	"FQP3P20"	"Device:Q_PMOS_GDS"	"Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown"	"P-MOSFET transistor, gate/drain/source"	""
"Q11"	"KSC1845"	"Device:Q_NPN_ECB"	"Package_TO_SOT_THT:TO-92_Inline"	"NPN transistor, emitter/collector/base"	""
"Q12"	"BC550C"	"Transistor_BJT:BC550"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92"	""
"Q13"	"BC550C"	"Transistor_BJT:BC550"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, Small Signal NPN Transistor, TO-92"	""
"Q14"	"BC560C"	"Transistor_BJT:BC560"	"Package_TO_SOT_THT:TO-92_Inline"	"0.1A Ic, 45V Vce, PNP Small Signal Transistor, TO-92"	""
